tW,xx,xy,xz,xi,yx,yy,yz,yi,zx,zy,zz,zi,ix,iy,iz,ii
t,xx,xy,xz,xi,yx,yy,yz,yi,zx,zy,zz,zi,ix,iy,iz,ii
654.0,0.0,0.0445996787646,0.0,0.0,-0.0445996787646,0.0,0.0,0.0,0.0,0.0,0.57426721539,0.837965389468,0.0,0.0,0.736301825921,1.0
655.0,0.0,0.0472284785777,0.0,0.0,-0.0472284785777,0.0,0.0,0.0,0.0,0.0,0.575257491998,0.835678880678,0.0,0.0,0.73957861132,1.0
656.0,0.0,0.0496748864224,0.0,0.0,-0.0496748864224,0.0,0.0,0.0,0.0,0.0,0.576246226257,0.833249432837,0.0,0.0,0.74299679342,1.0
657.0,0.0,0.0519319912323,0.0,0.0,-0.0519319912323,0.0,0.0,0.0,0.0,0.0,0.577233459742,0.830688294842,0.0,0.0,0.7465451649,1.0
658.0,0.0,0.0539935899967,0.0,0.0,-0.0539935899967,0.0,0.0,0.0,0.0,0.0,0.578219230759,0.828007071535,0.0,0.0,0.750212159223,1.0
659.0,0.0,0.0558542032451,0.0,0.0,-0.0558542032451,0.0,0.0,0.0,0.0,0.0,0.579203574262,0.825217680876,0.0,0.0,0.753985893386,1.0
660.0,0.0,0.0575090879175,0.0,0.0,-0.0575090879175,0.0,0.0,0.0,0.0,0.0,0.580186521774,0.822332310371,0.0,0.0,0.757854211404,1.0
661.0,0.0,0.0589542475949,0.0,0.0,-0.0589542475949,0.0,0.0,0.0,0.0,0.0,0.581168101333,0.819363372956,0.0,0.0,0.761804728377,1.0
662.0,0.0,0.0601864400776,0.0,0.0,-0.0601864400776,0.0,0.0,0.0,0.0,0.0,0.582148337435,0.816323462452,0.0,0.0,0.765824874983,1.0
663.0,0.0,0.0612031823084,0.0,0.0,-0.0612031823084,0.0,0.0,0.0,0.0,0.0,0.583127251004,0.813225308776,0.0,0.0,0.769901942228,1.0
664.0,0.0,0.0620027526434,0.0,0.0,-0.0620027526434,0.0,0.0,0.0,0.0,0.0,0.584104859367,0.810081733047,0.0,0.0,0.774023126319,1.0
665.0,0.0,0.0625841904863,0.0,0.0,-0.0625841904863,0.0,0.0,0.0,0.0,0.0,0.585081176241,0.806905602758,0.0,0.0,0.778175573483,1.0
666.0,0.0,0.0629472933084,0.0,0.0,-0.0629472933084,0.0,0.0,0.0,0.0,0.0,0.586056211737,0.803709787147,0.0,0.0,0.78234642459,1.0
667.0,0.0,0.0630926110862,0.0,0.0,-0.0630926110862,0.0,0.0,0.0,0.0,0.0,0.587029972371,0.800507112939,0.0,0.0,0.786522859432,1.0
668.0,0.0,0.0630214381974,0.0,0.0,-0.0630214381974,0.0,0.0,0.0,0.0,0.0,0.588002461094,0.797310320598,0.0,0.0,0.790692140496,1.0
669.0,0.0,0.062735802824,0.0,0.0,-0.062735802824,0.0,0.0,0.0,0.0,0.0,0.588973677325,0.794132021235,0.0,0.0,0.79484165609,1.0
670.0,0.0,0.0622384539187,0.0,0.0,-0.0622384539187,0.0,0.0,0.0,0.0,0.0,0.589943617004,0.790984654317,0.0,0.0,0.798958962687,1.0
671.0,0.0,0.0615328458014,0.0,0.0,-0.0615328458014,0.0,0.0,0.0,0.0,0.0,0.590912272653,0.787880446315,0.0,0.0,0.803031826338,1.0
672.0,0.0,0.0606231204561,0.0,0.0,-0.0606231204561,0.0,0.0,0.0,0.0,0.0,0.591879633446,0.784831370429,0.0,0.0,0.807048263017,1.0
673.0,0.0,0.0595140876104,0.0,0.0,-0.0595140876104,0.0,0.0,0.0,0.0,0.0,0.592845685295,0.781849107511,0.0,0.0,0.810996577784,1.0
674.0,0.0,0.0582112026817,0.0,0.0,-0.0582112026817,0.0,0.0,0.0,0.0,0.0,0.593810410943,0.778945008322,0.0,0.0,0.814865402621,1.0
675.0,0.0,0.0567205426864,0.0,0.0,-0.0567205426864,0.0,0.0,0.0,0.0,0.0,0.594773790068,0.776130057232,0.0,0.0,0.818643732837,1.0
676.0,0.0,0.0550487802096,0.0,0.0,-0.0550487802096,0.0,0.0,0.0,0.0,0.0,0.595735799397,0.773414837479,0.0,0.0,0.822320961918,1.0
677.0,0.0,0.053203155542,0.0,0.0,-0.053203155542,0.0,0.0,0.0,0.0,0.0,0.596696412824,0.770809498097,0.0,0.0,0.825886914727,1.0
678.0,0.0,0.0511914470945,0.0,0.0,-0.0511914470945,0.0,0.0,0.0,0.0,0.0,0.597655601551,0.768323722608,0.0,0.0,0.829331878943,1.0
679.0,0.0,0.0490219402062,0.0,0.0,-0.0490219402062,0.0,0.0,0.0,0.0,0.0,0.598613334217,0.765966699576,0.0,0.0,0.832646634641,1.0
680.0,0.0,0.0467033944673,0.0,0.0,-0.0467033944673,0.0,0.0,0.0,0.0,0.0,0.599569577052,0.763747095101,0.0,0.0,0.835822481952,1.0
681.0,0.0,0.0442450096805,0.0,0.0,-0.0442450096805,0.0,0.0,0.0,0.0,0.0,0.60052429403,0.761673027343,0.0,0.0,0.838851266687,1.0
682.0,0.0,0.0416563905896,0.0,0.0,-0.0416563905896,0.0,0.0,0.0,0.0,0.0,0.601477447026,0.759752043136,0.0,0.0,0.84172540389,1.0
683.0,0.0,0.0389475105068,0.0,0.0,-0.0389475105068,0.0,0.0,0.0,0.0,0.0,0.602428995987,0.757991096765,0.0,0.0,0.844437899222,1.0
684.0,0.0,0.0361286739731,0.0,0.0,-0.0361286739731,0.0,0.0,0.0,0.0,0.0,0.603378899102,0.756396530946,0.0,0.0,0.846982368157,1.0
685.0,0.0,0.0332104785873,0.0,0.0,-0.0332104785873,0.0,0.0,0.0,0.0,0.0,0.604327112976,0.754974060076,0.0,0.0,0.8493530529,1.0
686.0,0.0,0.0302037761435,0.0,0.0,-0.0302037761435,0.0,0.0,0.0,0.0,0.0,0.605273592814,0.753728755782,0.0,0.0,0.851544837032,1.0
687.0,0.0,0.0271196332138,0.0,0.0,-0.0271196332138,0.0,0.0,0.0,0.0,0.0,0.606218292601,0.752665034789,0.0,0.0,0.853553257813,1.0
688.0,0.0,0.023969291319,0.0,0.0,-0.023969291319,0.0,0.0,0.0,0.0,0.0,0.607161165292,0.751786649151,0.0,0.0,0.85537451614,1.0
689.0,0.0,0.0207641268264,0.0,0.0,-0.0207641268264,0.0,0.0,0.0,0.0,0.0,0.608102162995,0.751096678848,0.0,0.0,0.857005484147,1.0
690.0,0.0,0.017515610714,0.0,0.0,-0.017515610714,0.0,0.0,0.0,0.0,0.0,0.609041237165,0.750597526744,0.0,0.0,0.858443710421,1.0
691.0,0.0,0.0142352683432,0.0,0.0,-0.0142352683432,0.0,0.0,0.0,0.0,0.0,0.609978338791,0.75029091593,0.0,0.0,0.859687422861,1.0
692.0,0.0,0.0109346393748,0.0,0.0,-0.0109346393748,0.0,0.0,0.0,0.0,0.0,0.610913418589,0.750177889419,0.0,0.0,0.86073552917,1.0
693.0,0.0,0.00762523796822,0.0,0.0,-0.00762523796822,0.0,0.0,0.0,0.0,0.0,0.611846427188,0.750258812177,0.0,0.0,0.861587615011,1.0
694.0,0.0,0.0043185133961,0.0,0.0,-0.0043185133961,0.0,0.0,0.0,0.0,0.0,0.61277731532,0.750533375482,0.0,0.0,0.862243939838,1.0
695.0,0.0,0.0010258112077,0.0,0.0,-0.0010258112077,0.0,0.0,0.0,0.0,0.0,0.613706034005,0.751000603553,0.0,0.0,0.862705430452,1.0
696.0,0.0,-0.00224166493061,0.0,0.0,0.00224166493061,0.0,0.0,0.0,0.0,0.0,0.614632534737,0.751658862422,0.0,0.0,0.862973672316,1.0
697.0,0.0,-0.00547289059177,0.0,0.0,0.00547289059177,0.0,0.0,0.0,0.0,0.0,0.615556769662,0.752505870994,0.0,0.0,0.863050898668,1.0
698.0,0.0,-0.00865705701974,0.0,0.0,0.00865705701974,0.0,0.0,0.0,0.0,0.0,0.616478691753,0.753538714248,0.0,0.0,0.862939977505,1.0
699.0,0.0,-0.0117836065187,0.0,0.0,0.0117836065187,0.0,0.0,0.0,0.0,0.0,0.617398254986,0.754753858498,0.0,0.0,0.862644396489,1.0
700.0,0.0,-0.0148422666866,0.0,0.0,0.0148422666866,0.0,0.0,0.0,0.0,0.0,0.618315414508,0.756147168665,0.0,0.0,0.862168245843,1.0
